BLOCK,BLOCK_TIMESTAMP,BLUNA_PRICE,BETH_PRICE
4209572,2021-08-20T13:48:13Z,29.024527937232396,3246.98352306
4209570,2021-08-20T13:47:59Z,29.024527937232396,3246.98352306
4209569,2021-08-20T13:47:48Z,29.01935365149007,3246.98352306
4209566,2021-08-20T13:47:28Z,29.01935365149007,3246.98352306
4209564,2021-08-20T13:47:15Z,29.070437807922538,3246.98352306
4209562,2021-08-20T13:47:02Z,29.070437807922538,3246.98352306
4209560,2021-08-20T13:46:46Z,29.064569491376634,3246.98352306
4209558,2021-08-20T13:46:32Z,29.064569491376634,3246.98359895
4209556,2021-08-20T13:46:19Z,29.064569491376634,3246.98359895
4209553,2021-08-20T13:45:58Z,29.061952198531404,3246.98359895
4209551,2021-08-20T13:45:44Z,29.061952198531404,3246.98359895
4209547,2021-08-20T13:45:17Z,29.068690034660044,3246.98359895
4209545,2021-08-20T13:45:04Z,29.075672188718972,3246.98359895
4209542,2021-08-20T13:44:44Z,29.075672188718972,3246.98359895
4209540,2021-08-20T13:44:30Z,29.073865825782892,3246.98359895
4209538,2021-08-20T13:44:17Z,29.073865825782892,3246.98359895
4209536,2021-08-20T13:44:03Z,29.073865825782892,3246.98359895
4209534,2021-08-20T13:43:49Z,29.057117274113676,3246.98359895
4209531,2021-08-20T13:43:29Z,29.057117274113676,3246.97462888
4209529,2021-08-20T13:43:15Z,29.082459744322804,3246.97462888
4209527,2021-08-20T13:43:01Z,29.082459744322804,3246.97462888
4209525,2021-08-20T13:42:48Z,29.088912898773177,3246.97462888
4209523,2021-08-20T13:42:35Z,29.088912898773177,3246.97462886
4209521,2021-08-20T13:42:20Z,29.088912898773177,3229.99408744
4209518,2021-08-20T13:41:58Z,29.096700020125027,3229.99408744
4209516,2021-08-20T13:41:45Z,29.096700020124814,3229.99408744
4209514,2021-08-20T13:41:32Z,29.096046161438863,3229.99408744
4209512,2021-08-20T13:41:18Z,29.096046161438863,3229.99408744
4209509,2021-08-20T13:40:57Z,29.09870260146862,3229.99408744
4209507,2021-08-20T13:40:44Z,29.09870260146862,3229.99408744
4209505,2021-08-20T13:40:30Z,29.09870260146862,3229.99408744
4209503,2021-08-20T13:40:17Z,29.09565009064031,3229.99408744
4209501,2021-08-20T13:40:01Z,29.09565009064031,3229.99408744
4209499,2021-08-20T13:39:48Z,29.099083961395323,3229.99408744
4209496,2021-08-20T13:39:28Z,29.099083961395323,3229.99408744
4209494,2021-08-20T13:39:15Z,29.102972720644882,3229.99408744
4209492,2021-08-20T13:39:02Z,29.102972720644882,3229.99408744
4209490,2021-08-20T13:38:48Z,29.12803123481909,3229.99408744
4209488,2021-08-20T13:38:35Z,,3229.99408744
4209485,2021-08-20T13:38:15Z,29.12803123481909,3229.99408744
4209483,2021-08-20T13:38:02Z,29.139681428179628,3229.99408744
4209481,2021-08-20T13:37:49Z,29.139681428179628,3229.99408744
4209479,2021-08-20T13:37:34Z,29.156449816540537,3229.99408744
4209476,2021-08-20T13:37:14Z,29.156449816540537,3229.99408744
4209474,2021-08-20T13:37:00Z,29.139418865968533,3229.99408744
4209472,2021-08-20T13:36:47Z,29.139418865968533,3229.99408744
4209470,2021-08-20T13:36:32Z,29.134421610072245,3229.99413997
4209468,2021-08-20T13:36:14Z,29.134421610072245,3229.99413997
4209466,2021-08-20T13:36:01Z,29.134421610072245,3229.99413997
4209464,2021-08-20T13:35:48Z,29.133005031124178,3229.99413997
4209462,2021-08-20T13:35:34Z,29.133005031124178,3229.99413997
4209460,2021-08-20T13:35:18Z,29.111601196236055,3229.99460159
4209457,2021-08-20T13:34:59Z,29.111601196236055,3229.99460159
4209455,2021-08-20T13:34:45Z,29.111601196236055,3229.99460159
4209453,2021-08-20T13:34:31Z,29.15792206516581,3229.99460159
4209451,2021-08-20T13:34:18Z,29.15792206516581,3229.99460159
4209449,2021-08-20T13:34:03Z,29.150119994994707,3229.99460159
4209446,2021-08-20T13:33:44Z,29.150119994994707,3229.99460159
4209444,2021-08-20T13:33:29Z,29.146522186790385,3229.99471699
4209442,2021-08-20T13:33:15Z,29.146522186790385,3229.99471699
4209440,2021-08-20T13:32:59Z,29.146522186790385,3229.99471699
4209438,2021-08-20T13:32:44Z,29.151335360401095,3229.99471699
4209436,2021-08-20T13:32:31Z,29.151335360401095,3229.99471699
4209434,2021-08-20T13:32:16Z,29.13074997082541,3229.99471699
4209432,2021-08-20T13:32:02Z,29.130749970825317,3229.99471699
4209430,2021-08-20T13:31:49Z,29.132509031561092,3229.99471699
4209427,2021-08-20T13:31:29Z,29.132509031561092,3229.99471699
4209425,2021-08-20T13:31:15Z,29.132509031561092,3229.99471699
4209422,2021-08-20T13:30:55Z,29.171348027143218,3229.99471699
4209418,2021-08-20T13:30:29Z,29.176672158434723,3229.99471699
4209416,2021-08-20T13:30:16Z,29.176672158434723,3229.99471699
4209414,2021-08-20T13:30:02Z,29.18151356060488,3229.99471699
4209412,2021-08-20T13:29:49Z,29.18151356060488,3229.99471699
4209409,2021-08-20T13:29:29Z,29.21453990809799,3229.99471699
4209407,2021-08-20T13:29:15Z,29.21453990809799,3229.99471699
4209405,2021-08-20T13:29:01Z,29.234009600138144,3229.99471699
4209403,2021-08-20T13:28:47Z,29.234009600138144,3229.99471699
4209401,2021-08-20T13:28:33Z,29.234009600138144,3229.99471699
4209399,2021-08-20T13:28:19Z,29.187232540241126,3229.99471699
4209396,2021-08-20T13:27:59Z,29.187232540241126,3229.99471699
4209394,2021-08-20T13:27:46Z,29.176047920814668,3229.99471699
4209392,2021-08-20T13:27:32Z,29.176047920814668,3229.99471699
4209390,2021-08-20T13:27:18Z,29.18773768967227,3229.99471699
4209387,2021-08-20T13:26:58Z,29.18773768967227,3229.98760792
4209385,2021-08-20T13:26:45Z,29.17226420890249,3229.98760792
4209383,2021-08-20T13:26:30Z,29.17226420890249,3229.98760792
4209381,2021-08-20T13:26:17Z,29.17226420890249,3229.98760792
4209379,2021-08-20T13:26:03Z,29.154783496063057,3229.98760792
4209376,2021-08-20T13:25:43Z,29.154783496062787,3229.98760792
4209374,2021-08-20T13:25:30Z,29.171218938185042,3229.98760792
4209372,2021-08-20T13:25:17Z,29.171218938184825,3229.98760792
4209370,2021-08-20T13:25:03Z,29.16896969442396,3229.98760792
4209368,2021-08-20T13:24:44Z,29.16896969442396,3229.98760792
4209366,2021-08-20T13:24:30Z,29.16896969442396,3229.98760792
4209364,2021-08-20T13:24:17Z,29.19568582721916,3229.98760792
4209362,2021-08-20T13:24:03Z,29.19568582721916,3229.98760792
4209359,2021-08-20T13:23:43Z,29.189971135647955,3229.98760792
4209357,2021-08-20T13:23:27Z,29.189971135647955,3229.98760792
4209355,2021-08-20T13:23:14Z,29.189971135647937,3229.98760792
4209353,2021-08-20T13:23:00Z,29.18876812024946,3229.98760792
4209351,2021-08-20T13:22:47Z,29.18876812024946,3229.98760792
4209349,2021-08-20T13:22:32Z,29.19634704418588,3229.98760792
4209347,2021-08-20T13:22:18Z,29.19634704418588,3229.98760792
4209345,2021-08-20T13:22:05Z,29.192398382158707,3229.98760792
4209342,2021-08-20T13:21:44Z,29.192398382158707,3229.98760792
4209340,2021-08-20T13:21:31Z,29.14337284506726,3229.98760792
4209338,2021-08-20T13:21:17Z,29.14337284506726,3229.98760792
4209336,2021-08-20T13:21:04Z,29.14337284506726,3229.98760792
4209334,2021-08-20T13:20:48Z,29.13597046839269,3229.98760792
4209332,2021-08-20T13:20:35Z,29.13597046839269,3229.98760792
4209329,2021-08-20T13:20:15Z,29.13133815734182,3229.98760792
4209327,2021-08-20T13:20:01Z,29.13133815734182,3229.98760792
4209325,2021-08-20T13:19:48Z,29.072256628711425,3229.98760792
4209323,2021-08-20T13:19:33Z,29.072256628711425,3229.98760792
4209321,2021-08-20T13:19:15Z,29.072256628711425,3229.98760792
4209319,2021-08-20T13:19:02Z,29.08145354178613,3229.98760792
4209317,2021-08-20T13:18:49Z,29.08145354178613,3229.98760792
4209315,2021-08-20T13:18:34Z,29.08363099216156,3229.98760792
4209312,2021-08-20T13:18:14Z,29.08363099216156,3229.98760792
4209310,2021-08-20T13:18:00Z,29.08721712333503,3229.98760792
4209308,2021-08-20T13:17:46Z,29.08721712333503,3229.98760792
4209306,2021-08-20T13:17:33Z,29.08721712333503,3229.98760792
4209304,2021-08-20T13:17:19Z,29.113254140594204,3229.98760792
4209301,2021-08-20T13:16:59Z,29.113254140594204,3229.98760792
4209299,2021-08-20T13:16:44Z,29.112470036770887,3229.98760792
4209297,2021-08-20T13:16:31Z,29.112470036770887,3229.98760792
4209295,2021-08-20T13:16:18Z,29.107764246528564,3229.98760792
4209292,2021-08-20T13:15:58Z,29.107764246528564,3229.98760792
4209290,2021-08-20T13:15:45Z,29.107764246528564,3229.98760792
4209288,2021-08-20T13:15:32Z,29.108883035667642,3229.98760792
4209286,2021-08-20T13:15:19Z,29.108883035667642,3229.98760792
4209284,2021-08-20T13:15:04Z,29.080656608100583,3229.98760792
4209281,2021-08-20T13:14:44Z,29.080656608100583,3229.98760792
4209279,2021-08-20T13:14:31Z,29.087619301781572,3229.98760792
4209277,2021-08-20T13:14:17Z,29.087619301781572,3229.98760792
4209275,2021-08-20T13:14:02Z,29.09991563616609,3229.98760792
4209273,2021-08-20T13:13:48Z,29.09991563616609,3229.98760792
4209271,2021-08-20T13:13:34Z,29.09991563616609,3229.98760792
4209269,2021-08-20T13:13:15Z,29.09197596399523,3229.98760792
4209267,2021-08-20T13:13:01Z,29.09197596399523,3229.98760792
4209265,2021-08-20T13:12:47Z,29.089507772604687,3229.98760792
4209263,2021-08-20T13:12:32Z,29.089507772604687,3229.98760792
4209261,2021-08-20T13:12:19Z,29.089507772604687,3229.98760792
4209258,2021-08-20T13:12:00Z,29.05932685067404,3229.98760792
4209256,2021-08-20T13:11:46Z,29.05932685067404,3229.98760792
4209254,2021-08-20T13:11:33Z,29.049813095002378,3229.98760792
4209251,2021-08-20T13:11:12Z,29.049813095002378,3229.98760792
4209249,2021-08-20T13:10:59Z,29.051691150700787,3229.98760792
4209247,2021-08-20T13:10:45Z,29.051691150700787,3229.98760792
4209245,2021-08-20T13:10:30Z,29.05169115070047,3229.98760792
4209243,2021-08-20T13:10:17Z,29.062892945067492,3229.98760792
4209241,2021-08-20T13:10:03Z,29.062892945067492,3229.98760792
4209239,2021-08-20T13:09:49Z,29.05582334906451,3229.98760792
4209236,2021-08-20T13:09:28Z,29.055823349064163,3229.98760792
4209234,2021-08-20T13:09:15Z,29.04577295710557,3229.98760792
