blocktime,change,cum_sum,incentives,stSOL_price,incentive_price,stSOL_usd,incentives_usd
2021-11-04,-2607.1742058709992,1053763.7948872217,0.0,244.0435148076116,2.844384163477094,-636263.9569165022,0.0
2021-11-05,-11847.27789023,1041916.5169969917,0.0,250.883374055388,2.725570664105068,-2972285.050472701,0.0
2021-11-06,313.43198826900027,1042229.9489852607,0.0,239.46801734923423,3.237638336648532,75056.93680460594,0.0
2021-11-07,-361.4636935439996,1041868.4852917166,0.0,259.3836316317588,3.979292056311457,-93757.76553447175,0.0
2021-11-08,-9369.884423975991,1032498.6008677407,0.0,252.033730431746,4.125236773129519,-2361526.9250889807,0.0
2021-11-09,1502.3719115279998,1034000.9727792687,0.0,250.3098152681409,4.154373972007704,376058.4356386174,0.0
2021-11-10,590.6292995640001,1034591.6020788328,0.0,242.34948827708936,4.100424291217625,143138.70851079116,0.0
2021-11-11,1929.3265623949997,1036520.9286412278,0.0,234.68077162142228,4.2528237129621065,452775.8463725646,0.0
2021-11-12,-3534.252793323,1032986.6758479048,0.0,237.78783205464904,4.2293023918025225,-840402.3096573638,0.0
2021-11-13,-22496.34527270401,1010490.3305752007,0.0,231.22407764976973,4.426369144726687,-5201696.686171742,0.0
2021-11-14,1785.0065313540001,1012275.3371065548,0.0,242.91961735312563,5.466494162504728,433613.10356934374,0.0
2021-11-15,3160.4833674370007,1015435.8204739918,0.0,242.0983284622999,5.267659323766959,765147.7403893986,0.0
2021-11-16,-881.5630660200004,1014554.2574079718,0.0,241.03840247523635,4.269900471636475,-212490.5531146322,0.0
2021-11-17,1823.050048583,1016377.3074565547,0.0,224.3430517416344,3.8759113647312646,408988.6113768451,0.0
2021-11-18,570.7962211130003,1016948.1036776677,0.0,220.77609124818989,3.799160903271895,126018.15859656573,0.0
2021-11-19,-93.34986329599958,1016854.7538143717,0.0,196.17710770684965,3.846737209907569,-18313.106186239,0.0
2021-11-20,-1128.0240639290007,1015726.7297504427,0.0,216.6063222288806,4.955420960867706,-244337.14387333655,0.0
2021-11-21,437.36809597800146,1016164.0978464207,0.0,220.76184419192631,4.834512226436511,96554.18745881504,0.0
2021-11-22,1403.0347835619998,1017567.1326299827,0.0,235.69311070196667,4.323630164940798,330685.63256078825,0.0
2021-11-23,-6652.8486962900015,1010914.2839336926,0.0,219.26265221649044,3.810610430752348,-1458721.2499435665,0.0
2021-11-24,-48.042148690000204,1010866.2417850026,0.0,225.02917223454983,3.6712094231046746,-10810.884952079909,0.0
2021-11-25,13311.374747627997,1024177.6165326306,0.0,207.32247069814537,3.61185598237737,2759747.1010671374,0.0
2021-11-26,-8786.311856860002,1015391.3046757707,0.0,212.23538426832104,3.862050421604264,-1864766.273241988,0.0
2021-11-27,-2636.4588681860005,1012754.8458075847,0.0,195.49350652322568,3.672423584001269,-515410.58894593606,0.0
2021-11-28,-2695.7269874709996,1010059.1188201137,0.0,194.3070002152538,3.448157800864984,-523798.62433479296,0.0
2021-11-29,-5301.782995326998,1004757.3358247867,0.0,201.41784419900495,3.910851383027453,-1067873.7013297072,0.0
2021-11-30,-5153.522337272999,999603.8134875137,0.0,207.17300376067607,4.229296841904126,-1067670.702560587,0.0
2021-12-01,406.5648057969983,1000010.3782933106,0.0,211.58177917988075,4.291391279595021,86021.70496245161,0.0
2021-12-02,-5733.046067371001,994277.3322259396,0.0,231.5409037461502,3.88890409040485,-1327434.667657394,0.0
2021-12-03,-29123.677502145987,965153.6547237936,0.0,236.5647886168977,3.506907341035028,-6889636.612041865,0.0
2021-12-04,160.51159488200017,965314.1663186756,0.0,215.4186150193837,3.290767064217658,34577.185464032875,0.0
2021-12-05,-9131.887384657,956182.2789340186,0.0,202.84579754620287,3.084154336343815,-1852364.979642858,0.0
2021-12-06,742.5290907780002,956924.8080247965,0.0,197.9683140374237,4.06482153951701,146997.23222506183,0.0
2021-12-07,-2495.8830717260003,954428.9249530706,0.0,196.8422644341935,3.74456269374553,-491295.27560151654,0.0
2021-12-08,-11972.344675245004,942456.5802778256,0.0,192.03794584430184,3.57091114753549,-2299144.4783740155,0.0
2021-12-09,2087.769319177001,944544.3495970026,0.0,196.261602382799,3.72199344156614,409748.9519873235,0.0
2021-12-10,-4584.984153991001,939959.3654430116,0.0,184.3841187707431,3.19956543486895,-845398.2628114518,0.0
2021-12-11,-2847.3889378460003,937111.9765051657,0.0,172.1031074116272,3.21410561996597,-490044.4842127893,0.0
2021-12-12,-265.71665511799995,936846.2598500476,0.0,173.45278095652398,2.98617655905357,-46089.29277668267,0.0
2021-12-13,1427.3031084709985,938273.5629585186,0.0,176.70938280932168,3.06666390411423,252217.85137973647,0.0
2021-12-14,-5132.529339898,933141.0336186206,0.0,159.06671487997505,2.4874266651581896,-816414.5811226617,0.0
2021-12-15,28448.315769559005,961589.3493881796,0.0,162.63194082854676,2.9266841197620908,4626604.806906734,0.0
2021-12-16,12969.885762032005,974559.2351502116,5666.66,179.52949411646188,2.994744641470248,2328477.0296059074,16970.199670033795
2021-12-17,-4420.266313939002,970138.9688362726,5666.66,178.55676041940382,3.475395604911657,-789268.4332079677,19693.88525852869
2021-12-18,2022.4866717969999,972161.4555080696,5666.66,178.1298108610296,3.190817123592333,360265.1683161528,18081.27576157573
2021-12-19,2195.194379248,974356.6498873176,5666.66,186.05375039655783,3.0354522090636333,408424.1471085341,17200.875615012526
2021-12-20,-12122.734660156006,962233.9152271616,5666.66,183.9697948766121,2.859705849063856,-2230217.008772496,16204.98074665619
2021-12-21,72311.08887886199,1034545.0041060236,5666.66,177.9774918403131,2.858579546663054,12869746.230901815,16198.598373893661
2021-12-22,831.5785363849997,1035376.5826424086,5666.66,183.69395282549507,2.999830323436832,152755.94843340036,16999.01850060656
2021-12-23,163708.4240410469,1199085.0066834555,5666.66,182.315900366184,3.0938038642006456,29846648.72657251,17531.53460511123
2021-12-24,8462.184643101995,1207547.1913265577,5666.66,193.80703289583835,3.0384131395232843,1640030.8974963264,17217.654201211015
2021-12-25,28158.065077160016,1235705.2564037177,5666.66,193.31664972868157,2.856605404589607,5443422.803558764,16187.411581971743
2021-12-26,24987.277623287006,1260692.5340270046,5666.66,197.05365509396287,2.8764228364391298,4923834.3865162935,16299.710230336159
2021-12-27,-64853.82755070501,1195838.7064762996,5666.66,201.61483502461385,2.683732809121277,-13075493.742350148,15207.801360135176
2021-12-28,392.9927571230001,1196231.6992334225,5666.66,199.98454162271656,2.8947594394741576,78592.47639429076,16403.61752529063
2021-12-29,4052.6258488740013,1200284.3250822965,5666.66,181.97973664959244,2.987565077819525,737495.7847174217,16929.51552387679
2021-12-30,11364.505828469992,1211648.8309107665,5666.66,175.03260641525944,2.6666108872879497,1989159.07577851,15110.777250559133
2021-12-31,9772.283589483002,1221421.1145002495,5666.66,175.76393775963342,2.986775380412312,1717615.0445913775,16925.04057716723
2022-01-01,-3852.362666563999,1217568.7518336854,5666.66,173.27784103218136,3.104049045469244,-667529.0857351869,17589.590563998747
2022-01-02,34171.085452353014,1251739.8372860386,5666.66,181.9444059506193,3.72503521425234,6217237.843316219,21108.508047195166
2022-01-03,257.86316915700024,1251997.7004551955,5666.66,179.67208464287833,3.6732304477884536,46330.8131550574,20814.94804926492
2022-01-04,1299.6161232769978,1253297.3165784725,5666.66,173.99632106609656,3.3145051349179973,226128.42424838024,18782.173667834417
2022-01-05,64743.80856302999,1318041.1251415026,5666.66,171.36240231868604,3.3088055787718047,11094654.570621936,18749.876221003033
2022-01-06,41141.852970991,1359182.9781124936,5666.66,157.8933844541727,3.20226805065214,6496026.408305729,18146.164271908456
2022-01-07,-22132.593381486997,1337050.3847310066,5666.66,154.07220059934332,2.945044374848138,-3410017.3672561627,16688.56515717695
2022-01-08,7126.984653919001,1344177.3693849256,5666.66,139.4310004901934,2.644883474115713,993722.6007741812,14987.655387432545
