borrower,bETHcollateral,percent,ust_loan,bLunacollateral
terra1fkkacttawmwvl8d0trugrhmxvz8wdrqjq4g2cq,114611041.0,0.6232327131898092,1391861741540,59376513930.0
terra17t6gmeg90zmcd66gz0qxsqdla2ck57lycrrztr,111502421.0,0.6245403805092551,1166560469616,41924496219.0
terra1nnj0zratt7zqn08uysdrcv48azt65nn6s40v0e,108353388.0,0.6258111169037486,188756606953,0.0
terra1d5j8e78y3zaee7tjawveuzd3s4rxsh373zynxv,107753593.0,0.6270748190803943,293633925601,11122912147.0
terra18hdsxueer83fy9k4upag6y2dq60sja4cmzn275,106999999.0,0.6283296833301404,170002274287,0.0
terra127upywszlzv59h7fmckwx43scmeukpffzgahmp,104964103.0,0.6295606711954895,1791947770565,84091407354.0
terra19k2hmnp8zsaep88sgmwr0j5a9jk3qt5t0ddwrq,104095126.0,0.63078146795634,192037341968,0.0
terra18hkrkga08yw5qpnhtnmp8zwfpp79g9trxtzvvs,103499999.0,0.6319952852442623,146096368740,1259990227.0
terra1kr8n55952z9tf03cweul74c6swwkq80t3vzw0e,102290747.0,0.6331949207834189,167849052679,0.0
terra1qvt0desw656vg64sc9mlpxwjfmjz6yp4gvxktv,100999999.0,0.6343794188128954,183718702595,0.0
terra14l5cz7mtd6vzywral4682r8x4lxa9t0sf7hyu7,100859867.0,0.6355622734158421,288105130761,9112379784.0
terra1jgczyfnp0pfuwqcr2xvlt63g66f2f6ycdyuehu,100499998.0,0.6367409075819018,404729113971,21762090220.0
terra1xfsz20637lv3qn442mflag9zrs0ru8n4n3fz6x,100242243.0,0.6379165188737773,802147010333,36667413543.0
terra1j4fc3n0gycld8xg9q8c2v0cyhw9arxnv3vgh4g,100228324.0,0.6390919669277494,178535693843,0.0
terra1h7t0myux49hn2j5xzhs6mu6e3tjxeug3knv2kk,100000000.0,0.6402647372655754,1643681901168,80517708369.0
